accession	input_id	mass
P07250	P07250	40353
P07251	P07251	58608
P07255	P07255	6963
P07256	P07256	50228
P07257	P07257	40478
P07258	P07258	45362
P07259	P07259	245041
P07260	P07260	24254
P07261	P07261	87729
P07263	P07263	59953
P07264	P07264	85794
P07267	P07267	44499
P07269	P07269	63391
P07270	P07270	34089
P07271	P07271	97682
P07272	P07272	102724
P07273	P07273	34843
P07274	P07274	13677
P07276	P07276	117838
P07277	P07277	48460
P07278	P07278	47219
P07280	P07280	15917
P07281	P07281	15891
P07283	P07283	29063
P07284	P07284	53310
P07286	P07286	50368
P07342	P07342	74937
P07347	P07347	27603
P07560	P07560	23506
P07702	P07702	155346
P07703	P07703	37687
P07834	P07834	86090
P07866	P07866	163150
P07884	P07884	50237
P07991	P07991	46086
P00045	P00045	12532
P08004	P08004	129871
P08018	P08018	72720
P08067	P08067	23365
P08153	P08153	79775
P08417	P08417	53152
P08425	P08425	54829
P08432	P08432	52285
P08458	P08458	55704
P08466	P08466	37210
P08518	P08518	138751
P08524	P08524	40483
P08525	P08525	10975
P08536	P08536	57725
P08539	P08539	54076
P08566	P08566	174755
P08638	P08638	100153
P08640	P08640	136111
P08678	P08678	227834
P08679	P08679	51413
P08964	P08964	223636
P09032	P09032	65700
P09064	P09064	31574
P09119	P09119	58037
P09201	P09201	38263
P09232	P09232	69621
P09440	P09440	106217
P09547	P09547	147938
P09620	P09620	82245
P09624	P09624	54010
P09733	P09733	49800
P09734	P09734	49694
P09798	P09798	94992
P09880	P09880	95337
P09938	P09938	46147
P09950	P09950	59362
P09959	P09959	90560
P0C0T4	P0C0T4	12009
P0C0V8	P0C0V8	9746
P0C0W9	P0C0W9	19720
P0C0X0	P0C0X0	7565
P0C2I2	P0C2I2	198527
P0C2I3	P0C2I3	198659
P0C2I5	P0C2I5	198545
P0C2I6	P0C2I6	198405
P0C2I9	P0C2I9	198568
P0C2J0	P0C2J0	198639
P0C2J1	P0C2J1	198374
P0C2J3	P0C2J3	202122
P0C2J7	P0C2J7	207970
P0C5R9	P0C5R9	9361
P0CD91	P0CD91	32713
P0CE41	P0CE41	166108
P0CG63	P0CG63	42826
P0CH08	P0CH08	14554
P0CH09	P0CH09	14554
P0CS90	P0CS90	70628
P0CT04	P0CT04	8590
P0CX25	P0CX25	10091
P0CX26	P0CX26	10091
P0CX27	P0CX27	12212
P0CX28	P0CX28	12212
P0CX29	P0CX29	16038
P0CX30	P0CX30	16038
P0CX31	P0CX31	15329
P0CX32	P0CX32	15329
P0CX35	P0CX35	29410
P0CX36	P0CX36	29410
P0CX37	P0CX37	26996
P0CX38	P0CX38	26996
P0CX39	P0CX39	22490
P0CX40	P0CX40	22490
P0CX41	P0CX41	14473
P0CX42	P0CX42	14473
P0CX43	P0CX43	24486
P0CX44	P0CX44	24486
P0CX45	P0CX45	27408
P0CX46	P0CX46	27408
P0CX47	P0CX47	17749
P0CX48	P0CX48	17749
P0CX49	P0CX49	20563
P0CX50	P0CX50	20563
P0CX51	P0CX51	15847
P0CX53	P0CX53	17823
P0CX54	P0CX54	17823
P0CX55	P0CX55	17038
P0CX56	P0CX56	17038
P0CX63	P0CX63	202039
P0CX64	P0CX64	202039
P0CX77	P0CX77	38687
P0CX78	P0CX78	38687
P0CX79	P0CX79	38687
P0CX80	P0CX80	6650
P0CX81	P0CX81	6650
P0CX82	P0CX82	21704
P0CX83	P0CX83	21704
P0CX84	P0CX84	13910
P0CX85	P0CX85	13910
P0CY06	P0CY06	20413
P0CY08	P0CY08	24282
P0CZ17	P0CZ17	38687
P10080	P10080	32990
P10081	P10081	44697
P10127	P10127	41142
P10174	P10174	6932
P10363	P10363	47690
P10507	P10507	51084
P10591	P10591	69657
P10592	P10592	69470
P10614	P10614	60720
P10622	P10622	10668
P10659	P10659	41818
P10664	P10664	39092
P10823	P10823	50448
P10862	P10862	55230
P10863	P10863	24906
P10870	P10870	96719
P10961	P10961	93282
P10962	P10962	35696
P10964	P10964	186432
P11075	P11075	226886
P11076	P11076	20529
P11154	P11154	130099
P11325	P11325	101920
P11353	P11353	37712
P11412	P11412	57522
P11433	P11433	96940
P11484	P11484	66602
P11491	P11491	63004
P11632	P11632	10802
P11633	P11633	11476
P11655	P11655	51608
P11709	P11709	51092
P11710	P11710	57779
P11745	P11745	45816
P11746	P11746	32802
P11747	P11747	19132
P11792	P11792	91812
P11914	P11914	53338
P11938	P11938	92413
P11972	P11972	79716
P11978	P11978	152062
P11986	P11986	59642
P12294	P12294	57791
P12383	P12383	121794
P12385	P12385	49006
P12611	P12611	55346
P12630	P12630	63730
P12683	P12683	115626
P12684	P12684	115692
P12688	P12688	76480
P12689	P12689	112227
P12695	P12695	51818
P12709	P12709	61299
P12753	P12753	152569
P12754	P12754	70852
P12866	P12866	144766
P12868	P12868	117478
P12904	P12904	36401
P12945	P12945	98905
P12954	P12954	134306
P12962	P12962	18223
P13099	P13099	74371
P13134	P13134	90003
P13185	P13185	120071
P13186	P13186	128338
P13259	P13259	49406
P13365	P13365	64991
P13382	P13382	166809
P13393	P13393	27003
P13433	P13433	153047
P13517	P13517	32629
P13574	P13574	77867
P13586	P13586	104571
P13587	P13587	120357
P13663	P13663	39544
P13712	P13712	47365
P13856	P13856	30391
P14020	P14020	30362
P14064	P14064	62412
P14065	P14065	35079
P14120	P14120	11415
P14126	P14126	43758
P14164	P14164	81753
P14180	P14180	109882
P14242	P14242	99355
P14284	P14284	172957
P14291	P14291	95538
P14306	P14306	24357
P14540	P14540	39621
P14680	P14680	91245
P14681	P14681	42692
P14682	P14682	34065
P14693	P14693	37404
P14724	P14724	14081
P14736	P14736	87174
P14737	P14737	148398
P14741	P14741	34025
P14742	P14742	80047
P14743	P14743	52838
P14747	P14747	68528
P14772	P14772	176874
P14832	P14832	17391
P14904	P14904	57093
P14906	P14906	75345
P14907	P14907	86516
P14908	P14908	39727
P14922	P14922	107202
P15019	P15019	37036
P15108	P15108	80900
P15180	P15180	67959
P15202	P15202	58555
P15274	P15274	93302
P15303	P15303	85385
P15315	P15315	24425
P15367	P15367	18762
P15424	P15424	76269
P15436	P15436	124619
P15442	P15442	190193
P15454	P15454	20637
P15496	P15496	33352
P15565	P15565	64052
P15624	P15624	67365
P15625	P15625	57511
P15646	P15646	34465
P15700	P15700	22933
P15703	P15703	34119
P15705	P15705	66265
P15731	P15731	16456
P15732	P15732	16281
P15790	P15790	44668
P15801	P15801	143502
P15807	P15807	31918
P15873	P15873	28916
P15891	P15891	65576
P15938	P15938	121653
P15992	P15992	23880
P16140	P16140	57749
P16370	P16370	35298
P16387	P16387	46343
P16451	P16451	45362
P16467	P16467	61912
P16474	P16474	74468
P16521	P16521	115945
P16522	P16522	73114
P16550	P16550	36493
P16603	P16603	76772
P16622	P16622	44596
P16649	P16649	78308
P16658	P16658	44109
P16661	P16661	51929
P16664	P16664	75317
P16861	P16861	107970
P16862	P16862	104618
P16892	P16892	40772
P17064	P17064	58201
P17065	P17065	84652
P17076	P17076	28125
P17106	P17106	39388
P17119	P17119	84004
P17157	P17157	34906
P17214	P17214	81800
P17255	P17255	118637
P17260	P17260	32158
P17442	P17442	134029
P17505	P17505	35650
P17536	P17536	23541
P17555	P17555	57521
P17629	P17629	87829
P17649	P17649	52946
P17695	P17695	15861
P17709	P17709	55377
P17883	P17883	163726
P17890	P17890	27724
P17891	P17891	26532
P17898	P17898	44829
P17967	P17967	58227
P18238	P18238	33313
P18239	P18239	34426
P18409	P18409	56237
P18410	P18410	30114
P18412	P18412	55157
P18480	P18480	102543
P18494	P18494	79383
P18562	P18562	24594
P18759	P18759	84056
P18851	P18851	46581
P18852	P18852	12625
P18888	P18888	37607
P18898	P18898	42690
P18899	P18899	46233
P18961	P18961	76664
P19073	P19073	21323
P19097	P19097	206947
P19145	P19145	65656
P19146	P19146	20658
P19211	P19211	17131
P19262	P19262	50431
P19263	P19263	123358
P19358	P19358	42256
P19414	P19414	85368
P19454	P19454	39404
P19524	P19524	180680
P19541	P19541	50082
P19657	P19657	102172
P19658	P19658	71294
P19659	P19659	120309
P19807	P19807	62056
P19812	P19812	224838
P19880	P19880	72533
P19882	P19882	60752
P19955	P19955	13689
P20050	P20050	68876
P20052	P20052	33227
P20081	P20081	12158
P20095	P20095	99814
P20107	P20107	48345
P20133	P20133	36666
P20134	P20134	83345
P20424	P20424	59624
P20433	P20433	25414
P20434	P20434	25079
P20435	P20435	17910
P20436	P20436	16511
P20447	P20447	58827
P20448	P20448	87193
P20449	P20449	53874
P20457	P20457	62263
P20459	P20459	34718
P20485	P20485	66317
P20486	P20486	17795
P20604	P20604	35538
P20606	P20606	21451
P20676	P20676	113581
P20795	P20795	79271
P20840	P20840	70340
P20967	P20967	114416
P21147	P21147	58403
P21182	P21182	46232
P21190	P21190	41858
P21192	P21192	86634
P21242	P21242	31536
P21243	P21243	28001
P21268	P21268	94572
P21269	P21269	62485
P21372	P21372	96359
P21373	P21373	59469
P21374	P21374	28024
P21375	P21375	55065
P21524	P21524	99561
P21538	P21538	91874
P21560	P21560	39084
P21576	P21576	78737
P21592	P21592	52148
P21651	P21651	35683
P21672	P21672	97515
P21691	P21691	76933
P21734	P21734	24178
P21801	P21801	30231
P21825	P21825	31347
P21826	P21826	62794
P21827	P21827	53014
P21951	P21951	255671
P21954	P21954	48190
P21957	P21957	46065
P21965	P21965	43136
P22007	P22007	48190
P22082	P22082	194051
P22108	P22108	36841
P22133	P22133	40731
P22134	P22134	34333
P22137	P22137	187234
P22138	P22138	135742
P22139	P22139	8278
P22140	P22140	44560
P22141	P22141	22517
P22146	P22146	59582
P22147	P22147	175460
P22148	P22148	43060
P22149	P22149	77683
P22203	P22203	26471
P22204	P22204	66148
P22211	P22211	85990
P22213	P22213	74679
P22214	P22214	25058
P22216	P22216	91962
P22217	P22217	11235
P22219	P22219	166372
P22224	P22224	105064
P22276	P22276	129456
P22289	P22289	7476
P22336	P22336	70348
P22515	P22515	114266
P22516	P22516	98806
P22543	P22543	100921
P22579	P22579	174839
P22696	P22696	19405
P22768	P22768	46928
P22803	P22803	11204
P22804	P22804	15720
P21306	P21306	6743
P22855	P22855	124499
P22936	P22936	41439
P22943	P22943	11693
P23179	P23179	45413
P23201	P23201	163143
P23202	P23202	40271
P23254	P23254	73806
P23255	P23255	161471
P23287	P23287	63002
P23291	P23291	61715
P23292	P23292	62079
P23293	P23293	74239
P23301	P23301	17114
P23337	P23337	80510
P23394	P23394	66641
P23503	P23503	54151
P23542	P23542	46058
P23561	P23561	80721
P23585	P23585	59841
P23594	P23594	41938
P23595	P23595	43047
P23615	P23615	168291
P23638	P23638	28714
P23639	P23639	27162
P23642	P23642	61092
P23643	P23643	116922
P23644	P23644	42038
P23724	P23724	26871
P23776	P23776	51311
P23900	P23900	73877
P23968	P23968	22596
P24004	P24004	117276
P24276	P24276	139954
P24279	P24279	107518
P24280	P24280	34901
P24309	P24309	47741
P24384	P24384	130011
P24482	P24482	78340
P24583	P24583	131477
P24783	P24783	60999
P24784	P24784	67917
P24813	P24813	45752
P24814	P24814	132734
P24867	P24867	32095
P24868	P24868	54871
P24869	P24869	56247
P24870	P24870	49476
P25042	P25042	41838
P25043	P25043	28268
P25044	P25044	38868
P25045	P25045	62207
P25046	P25046	24857
P25087	P25087	43431
P25293	P25293	47885
P25294	P25294	37590
P25296	P25296	19639
P25297	P25297	64382
P25298	P25298	79960
P25299	P25299	32791
P25300	P25300	75046
P25301	P25301	52247
P25302	P25302	123806
P25303	P25303	41543
P25333	P25333	66666
P25336	P25336	116534
P25340	P25340	56040
P25341	P25341	81462
P25342	P25342	37025
P25343	P25343	30250
P25344	P25344	38971
P25346	P25346	57322
P25348	P25348	21437
P25353	P25353	84734
P25357	P25357	138397
P25358	P25358	40002
P25359	P25359	44011
P25364	P25364	63647
P25368	P25368	34470
P25369	P25369	39872
P25373	P25373	12380
P25374	P25374	54467
P25375	P25375	81934
P25376	P25376	69671
P25377	P25377	39348
P25378	P25378	23338
P25384	P25384	202096
P25385	P25385	27500
P25386	P25386	206452
P25389	P25389	116475
P25441	P25441	46667
P25443	P25443	27450
P25453	P25453	36613
P25454	P25454	42963
P25491	P25491	44671
P25502	P25502	111414
P25515	P25515	16351
P25554	P25554	29381
P25555	P25555	48729
P25573	P25573	47156
P25574	P25574	87181
P25576	P25576	29673
P25580	P25580	47923
P25582	P25582	96485
P25583	P25583	38672
P25586	P25586	37159
P25588	P25588	124326
P25591	P25591	47843
P25604	P25604	43330
P25605	P25605	33987
P25613	P25613	30726
P25615	P25615	67527
P25618	P25618	107883
P25623	P25623	96137
P25627	P25627	30742
P25632	P25632	54165
P25635	P25635	103983
P25637	P25637	29017
P25641	P25641	58435
P25644	P25644	88511
P25646	P25646	49421
P25648	P25648	166861
P25651	P25651	21751
P25653	P25653	166036
P25655	P25655	240279
P25656	P25656	44982
P25693	P25693	35207
P25694	P25694	91996
P25719	P25719	19919
P25808	P25808	69422
P25846	P25846	109409
P25847	P25847	108884
P26188	P26188	21499
P26263	P26263	61580
P26309	P26309	67360
P26321	P26321	33715
P26364	P26364	25194
P26370	P26370	61224
P26449	P26449	38445
P26570	P26570	77491
P26754	P26754	29936
P26755	P26755	13816
P26783	P26783	25039
P26784	P26784	22201
P26785	P26785	22249
P26786	P26786	21622
P26793	P26793	43279
P27351	P27351	80453
P27466	P27466	50296
P27472	P27472	80079
P27476	P27476	44535
P27514	P27514	99490
P27515	P27515	56296
P27614	P27614	64597
P27616	P27616	34603
P27636	P27636	110242
P27637	P27637	78981
P27654	P27654	20728
P27680	P27680	36331
P27692	P27692	115650
P27697	P27697	56742
P27705	P27705	55532
P27796	P27796	44730
P27801	P27801	107398
P27809	P27809	51387
P27810	P27810	46022
P27825	P27825	56968
P27882	P27882	21639
P27895	P27895	113311
P27999	P27999	14288
P28000	P28000	16151
P28004	P28004	42483
P28005	P28005	19574
P28007	P28007	21480
P28240	P28240	62409
P28241	P28241	39739
P28263	P28263	24633
P28272	P28272	34801
P28273	P28273	140428
P28274	P28274	64710
P28319	P28319	24268
P28320	P28320	32312
P28321	P28321	35563
P28495	P28495	30699
P28496	P28496	48992
P28519	P28519	43038
P28627	P28627	21433
P28707	P28707	24082
P28708	P28708	58956
P28737	P28737	40343
P28742	P28742	125795
P28743	P28743	78378
P28777	P28777	40838
P28791	P28791	43882
P28795	P28795	50676
P28817	P28817	56288
P28834	P28834	39324
P29029	P29029	59015
P29055	P29055	38200
P29056	P29056	66906
P29295	P29295	57340
P29311	P29311	30091
P29340	P29340	21118
P29366	P29366	61605
P29453	P29453	28112
P29461	P29461	85868
P29465	P29465	131601
P29468	P29468	64552
P29469	P29469	98780
P29496	P29496	86411
P29509	P29509	34238
P29539	P29539	217931
P29547	P29547	47088
P29703	P29703	37508
P29704	P29704	51720
P29952	P29952	48189
P30283	P30283	50431
P30605	P30605	63570
P30619	P30619	83480
P30620	P30620	76399
P30624	P30624	77866
P30656	P30656	31637
P30657	P30657	29443
P30665	P30665	105003
P30771	P30771	109430
P30775	P30775	46770
P30822	P30822	124104
P30902	P30902	19810
P30952	P30952	62791
P31109	P31109	13201
P31111	P31111	100035
P31115	P31115	50889
P31116	P31116	38502
P31244	P31244	91430
P31373	P31373	42542
P31374	P31374	152332
P31376	P31376	72514
P31377	P31377	29049
P31378	P31378	45577
P31380	P31380	128507
P31382	P31382	86870
P31383	P31383	70907
P31384	P31384	94670
P31385	P31385	46978
P31386	P31386	36467
P31412	P31412	44189
P31539	P31539	102035
P31688	P31688	102976
P31755	P31755	55156
P32074	P32074	104831
P32178	P32178	29747
P32179	P32179	39149
P32259	P32259	111297
P32266	P32266	99178
P32288	P32288	41766
P32316	P32316	58712
P32318	P32318	34991
P32319	P32319	177777
P32323	P32323	73354
P32324	P32324	93289
P32325	P32325	80690
P32327	P32327	130167
P32328	P32328	65880
P32329	P32329	60010
P32332	P32332	35153
P32333	P32333	209977
P32334	P32334	133115
P32335	P32335	50880
P32336	P32336	94104
P32337	P32337	121031
P32338	P32338	33904
P32340	P32340	57250
P32342	P32342	18425
P32343	P32343	65061
P32344	P32344	12772
P32345	P32345	35264
P32347	P32347	41349
P32349	P32349	74017
P32350	P32350	83843
P32352	P32352	24896
P32353	P32353	42730
P32354	P32354	65815
P32356	P32356	85879
P32357	P32357	41688
P32361	P32361	126976
P32363	P32363	51242
P32364	P32364	73799
P32366	P32366	39791
P32367	P32367	73554
P32368	P32368	71125
P32377	P32377	44116
P32379	P32379	28617
P32380	P32380	111782
P32381	P32381	44074
P32383	P32383	100548
P32386	P32386	189162
P32389	P32389	74373
P32419	P32419	37186
P32432	P32432	74785
P32447	P32447	31603
P32454	P32454	107755
P32457	P32457	60054
P32458	P32458	47649
P32461	P32461	59775
P32462	P32462	50615
P32465	P32465	63261
P32466	P32466	62558
P32467	P32467	63910
P32468	P32468	46668
P32471	P32471	22627
P32472	P32472	14487
P32474	P32474	58982
P32476	P32476	55126
P32478	P32478	41059
P32479	P32479	93858
P32480	P32480	98445
P32481	P32481	57866
P32485	P32485	48858
P32486	P32486	80123
P32490	P32490	56720
P32491	P32491	56758
P32492	P32492	169344
P32494	P32494	79282
P32495	P32495	17122
P32497	P32497	93204
P32499	P32499	77881
P32500	P32500	74134
P32501	P32501	81161
P32502	P32502	42570
P32504	P32504	111917
P32505	P32505	58321
P32521	P32521	160267
P32523	P32523	56570
P32524	P32524	33052
P32526	P32526	74245
P32527	P32527	49020
P32528	P32528	201832
P32529	P32529	13661
P32558	P32558	118630
P32561	P32561	48904
P32562	P32562	81031
P32563	P32563	95529
P32565	P32565	104232
P32566	P32566	57079
P32567	P32567	95031
P32569	P32569	78476
P32570	P32570	13863
P32571	P32571	105192
P32573	P32573	31109
P32578	P32578	91071
P32579	P32579	46538
P32580	P32580	84324
P32582	P32582	56022
P32584	P32584	27888
P32585	P32585	34289
P32588	P32588	50763
P32589	P32589	77366
P32591	P32591	92926
P32597	P32597	156743
P32598	P32598	35907
P32599	P32599	71773
P32600	P32600	281568
P32602	P32602	32803
P32603	P32603	51809
P32604	P32604	52595
P32605	P32605	34378
P32607	P32607	19016
P32609	P32609	59443
P32610	P32610	29194
P32614	P32614	50844
P32621	P32621	56822
P32622	P32622	55874
P32623	P32623	49906
P32626	P32626	25187
P32628	P32628	42367
P32629	P32629	58182
P32639	P32639	246185
P32641	P32641	75727
P32642	P32642	27493
P32643	P32643	34768
P32644	P32644	126970
P32657	P32657	168241
P32660	P32660	177798
P32767	P32767	123531
P32768	P32768	160668
P32769	P32769	68730
P32771	P32771	41042
P32773	P32773	32201
P32774	P32774	13458
P32776	P32776	72894
P32783	P32783	50341
P32784	P32784	85694
P32789	P32789	76372
P32790	P32790	135848
P32791	P32791	78854
P32793	P32793	50902
P32794	P32794	84748
P32795	P32795	81772
P32796	P32796	77242
P32797	P32797	104904
P32378	P32378	41001
P32798	P32798	48155
P32799	P32799	15021
P32800	P32800	30752
P32801	P32801	72150
P32802	P32802	75963
P32803	P32803	23332
P32807	P32807	70647
P32828	P32828	71071
P32829	P32829	77650
P32830	P32830	12284
P32832	P32832	49651
P32833	P32833	71238
P32835	P32835	24810
P32838	P32838	42433
P32839	P32839	51107
P32842	P32842	17037
P32844	P32844	93428
P32849	P32849	134002
P32854	P32854	33006
P32855	P32855	122225
P32860	P32860	29174
P32861	P32861	55988
P32862	P32862	128240
P32863	P32863	101754
P32864	P32864	67374
P32867	P32867	33106
P32873	P32873	124913
P32874	P32874	259163
P32891	P32891	65293
P32892	P32892	84843
P32893	P32893	63368
P32895	P32895	47047
P32897	P32897	23244
P32898	P32898	112180
P32899	P32899	21885
P32900	P32900	81849
P32901	P32901	68044
P32905	P32905	28024
P32906	P32906	63057
P32908	P32908	141280
P32909	P32909	81397
P32910	P32910	36135
P32911	P32911	12312
P32912	P32912	36711
P32913	P32913	63204
P32914	P32914	11158
P32915	P32915	52937
P32916	P32916	69278
P32917	P32917	102727
P32939	P32939	23043
P32943	P32943	44145
P32944	P32944	92468
P33122	P33122	32689
P33201	P33201	27058
P33202	P33202	167843
P33203	P33203	69065
P33296	P33296	28383
P33297	P33297	48256
P33298	P33298	47894
P33299	P33299	51983
P33300	P33300	44808
P33301	P33301	96365
P33302	P33302	170438
P33307	P33307	109356
P33308	P33308	17376
P33309	P33309	44058
P33310	P33310	75950
P33313	P33313	44112
P33314	P33314	126663
P33317	P33317	15307
P33322	P33322	54705
P33328	P33328	12957
P33330	P33330	43416
P33332	P33332	154695
P33333	P33333	33887
P33334	P33334	279504
P33336	P33336	86241
P33338	P33338	108911
P33339	P33339	120229
P33399	P33399	32104
P33400	P33400	68232
P33401	P33401	63112
P33413	P33413	80617
P33416	P33416	91336
P33418	P33418	126820
P33419	P33419	29280
P33420	P33420	100290
P33421	P33421	22068
P33441	P33441	44996
P33442	P33442	28743
P33734	P33734	61068
P33748	P33748	77861
P33749	P33749	69723
P33751	P33751	26733
P33753	P33753	72852
P33754	P33754	24231
P33755	P33755	65782
P33760	P33760	115571
P33767	P33767	49392
P33775	P33775	92675
P33891	P33891	81167
P33892	P33892	296698
P33895	P33895	52973
P34077	P34077	96174
P34078	P34078	53390
P34087	P34087	19058
P34110	P34110	109142
P34111	P34111	132108
P34160	P34160	100018
P34161	P34161	42739
P34162	P34162	22894
P34163	P34163	62979
P34164	P34164	46405
P34167	P34167	48522
P34216	P34216	150783
P34217	P34217	73776
P34218	P34218	97582
P34219	P34219	59226
P34223	P34223	46987
P34225	P34225	78768
P34226	P34226	77066
P34227	P34227	29496
P34230	P34230	97126
P34233	P34233	65685
P34241	P34241	203287
P34243	P34243	78273
P34244	P34244	169607
P34247	P34247	29735
P34252	P34252	52272
P34730	P34730	31061
P34756	P34756	257420
P34758	P34758	97305
P34760	P34760	21590
P34761	P34761	71253
P34909	P34909	65354
P35056	P35056	69324
P35169	P35169	281140
P35177	P35177	152617
P35179	P35179	8944
P35180	P35180	20317
P35181	P35181	18152
P35182	P35182	31550
P35187	P35187	163837
P35189	P35189	27440
P35191	P35191	55561
P35192	P35192	46516
P35193	P35193	47599
P35194	P35194	287560
P35196	P35196	32694
P35197	P35197	39296
P35200	P35200	26506
P35201	P35201	62473
P35203	P35203	56336
P35206	P35206	45442
P35207	P35207	146059
P35208	P35208	72922
P35688	P35688	116651
P35691	P35691	18741
P35718	P35718	24326
P35728	P35728	49647
P35729	P35729	120448
P35732	P35732	83973
P35734	P35734	32072
P35817	P35817	76978
P35843	P35843	49505
P35844	P35844	49492
P35845	P35845	135098
P35997	P35997	8879
P35999	P35999	88183
P36000	P36000	81869
P36003	P36003	103956
P36005	P36005	49633
P36006	P36006	142451
P36007	P36007	34899
P36009	P36009	82713
P36010	P36010	17167
P36012	P36012	26841
P36013	P36013	74376
P36014	P36014	19485
P36015	P36015	22707
P36016	P36016	99572
P36017	P36017	23081
P36018	P36018	26132
P36022	P36022	471348
P36024	P36024	62478
P36027	P36027	39146
P36033	P36033	80072
P36035	P36035	69376
P36037	P36037	79506
P36041	P36041	69762
P36046	P36046	44536
P36047	P36047	38887
P36048	P36048	114041
P36049	P36049	49734
P36051	P36051	105693
P36056	P36056	72190
P36057	P36057	26974
P36060	P36060	34138
P36068	P36068	28251
P36075	P36075	50874
P36076	P36076	65238
P36077	P36077	13854
P36081	P36081	46036
P36084	P36084	60460
P36088	P36088	19734
P36091	P36091	49565
P36094	P36094	42271
P36095	P36095	26242
P36096	P36096	87880
P36100	P36100	54742
P36102	P36102	76455
P36104	P36104	37122
P36105	P36105	15167
P36107	P36107	45193
P36108	P36108	26291
P36112	P36112	61082
P36113	P36113	63569
P36116	P36116	18912
P36117	P36117	102540
P36119	P36119	60799
P36122	P36122	88044
P36124	P36124	85480
P36126	P36126	195204
P36130	P36130	72832
P36131	P36131	34078
P36132	P36132	42748
P36135	P36135	36955
P36136	P36136	31022
P36143	P36143	69724
P36146	P36146	59351
P36148	P36148	83645
P36149	P36149	22129
P36152	P36152	38543
P36156	P36156	43274
P36160	P36160	39599
P36161	P36161	133321
P36162	P36162	15072
P36163	P36163	39328
P36165	P36165	102717
P36170	P36170	122165
P36421	P36421	44020
P36531	P36531	20091
