accession	input_id	cc_subunit
O74700	O74700	SUBUNIT: Heterohexamer; composed of 3 copies of TIM9 and 3 copies of TIM10, named soluble 70 kDa complex. Associates with the TIM12 component of the TIM22 complex, whose core is composed of TIM18, TIM22 and TIM54. Interacts with the transmembrane regions of multi-pass transmembrane proteins in transit. {ECO:0000269|PubMed:11867522, ECO:0000269|PubMed:12138093, ECO:0000269|PubMed:9822593, ECO:0000269|PubMed:9889188}.
O94742	O94742	SUBUNIT: Part of the 26S proteasome. Associates with the nuclear pore complex (NPC)-associated TREX-2 complex and the COP9 signalosome. Interacts with CSN12 and THP3. {ECO:0000269|PubMed:19061648, ECO:0000269|PubMed:19289793}.
P00044	P00044	NA
P00045	P00045	NA
P00127	P00127	SUBUNIT: Component of the ubiquinol-cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII), a multisubunit enzyme composed of 10 subunits. The complex is composed of 3 respiratory subunits cytochrome b (COB), cytochrome c1 (CYT1) and Rieske protein (RIP1), 2 core protein subunits COR1 and QCR2, and 5 low-molecular weight protein subunits QCR6, QCR7, QCR8, QCR9 and QCR10 (PubMed:10873857, PubMed:11880631, PubMed:18390544, PubMed:30598554). The complex exists as an obligatory dimer and forms supercomplexes (SCs) in the inner mitochondrial membrane with a monomer or a dimer of cytochrome c oxidase (complex IV, CIV), resulting in 2 different assemblies (supercomplexes III(2)IV and III(2)IV(2)) (PubMed:10764779, PubMed:10775262, PubMed:30598554, PubMed:30598556). QCR6 interacts with COX5A at the CIII-CIV interface (PubMed:30598554). {ECO:0000269|PubMed:10764779, ECO:0000269|PubMed:10775262, ECO:0000269|PubMed:10873857, ECO:0000269|PubMed:11880631, ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554, ECO:0000269|PubMed:30598556}.
P00128	P00128	SUBUNIT: Component of the ubiquinol-cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII), a multisubunit enzyme composed of 10 subunits. The complex is composed of 3 respiratory subunits cytochrome b (COB), cytochrome c1 (CYT1) and Rieske protein (RIP1), 2 core protein subunits COR1 and QCR2, and 5 low-molecular weight protein subunits QCR6, QCR7, QCR8, QCR9 and QCR10 (PubMed:10873857, PubMed:11880631, PubMed:18390544, PubMed:30598554). The complex exists as an obligatory dimer and forms supercomplexes (SCs) in the inner mitochondrial membrane with a monomer or a dimer of cytochrome c oxidase (complex IV, CIV), resulting in 2 different assemblies (supercomplexes III(2)IV and III(2)IV(2)) (PubMed:10764779, PubMed:10775262, PubMed:30598554, PubMed:30598556). {ECO:0000269|PubMed:10764779, ECO:0000269|PubMed:10775262, ECO:0000269|PubMed:10873857, ECO:0000269|PubMed:11880631, ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554, ECO:0000269|PubMed:30598556}.
P00163	P00163	SUBUNIT: Component of the ubiquinol-cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII), a multisubunit enzyme composed of 10 subunits. The complex is composed of 3 respiratory subunits cytochrome b (COB), cytochrome c1 (CYT1) and Rieske protein (RIP1), 2 core protein subunits COR1 and QCR2, and 5 low-molecular weight protein subunits QCR6, QCR7, QCR8, QCR9 and QCR10 (PubMed:10873857, PubMed:11880631, PubMed:30598554, PubMed:8031140). The complex exists as an obligatory dimer and forms supercomplexes (SCs) in the inner mitochondrial membrane with a monomer or a dimer of cytochrome c oxidase (complex IV, CIV), resulting in 2 different assemblies (supercomplexes III(2)IV and III(2)IV(2)) (PubMed:10764779, PubMed:10775262, PubMed:30598554, PubMed:30598556). {ECO:0000269|PubMed:10764779, ECO:0000269|PubMed:10775262, ECO:0000269|PubMed:10873857, ECO:0000269|PubMed:11880631, ECO:0000269|PubMed:30598554, ECO:0000269|PubMed:30598556, ECO:0000269|PubMed:8031140}.
P00175	P00175	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:4593578}.
P00330	P00330	SUBUNIT: Homotetramer. {ECO:0000305|Ref.10}.
P00331	P00331	SUBUNIT: Homotetramer.
P00358	P00358	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:3905788}.
P00359	P00359	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:22869137, ECO:0000269|PubMed:3905788}.
P00360	P00360	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:3905788}.
P00401	P00401	SUBUNIT: Component of the cytochrome c oxidase (complex IV, CIV), a multisubunit enzyme composed of 12 subunits. The complex is composed of a catalytic core of 3 subunits COX1, COX2 and COX3, encoded in the mitochondrial DNA, and 9 supernumerary subunits COX4, COX5A (or COX5B), COX6, COX7, COX8, COX9, COX12, COX13 and COX26, which are encoded in the nuclear genome (PubMed:30598554, PubMed:30598556, PubMed:7851399). The complex exists as a monomer or a dimer and forms supercomplexes (SCs) in the inner mitochondrial membrane with a dimer of ubiquinol-cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII), resulting in 2 different assemblies (supercomplexes III(2)IV and III(2)IV(2)) (PubMed:10764779, PubMed:10775262, PubMed:30598554, PubMed:30598556). {ECO:0000269|PubMed:10764779, ECO:0000269|PubMed:10775262, ECO:0000269|PubMed:30598554, ECO:0000269|PubMed:30598556, ECO:0000269|PubMed:7851399}.
P00410	P00410	SUBUNIT: Component of the cytochrome c oxidase (complex IV, CIV), a multisubunit enzyme composed of 12 subunits. The complex is composed of a catalytic core of 3 subunits COX1, COX2 and COX3, encoded in the mitochondrial DNA, and 9 supernumerary subunits COX4, COX5A (or COX5B), COX6, COX7, COX8, COX9, COX12, COX13 and COX26, which are encoded in the nuclear genome (PubMed:30598554, PubMed:30598556, PubMed:7851399). The complex exists as a monomer or a dimer and forms supercomplexes (SCs) in the inner mitochondrial membrane with a dimer of ubiquinol-cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII), resulting in 2 different assemblies (supercomplexes III(2)IV and III(2)IV(2)) (PubMed:10764779, PubMed:10775262, PubMed:30598554, PubMed:30598556). {ECO:0000269|PubMed:10764779, ECO:0000269|PubMed:10775262, ECO:0000269|PubMed:30598554, ECO:0000269|PubMed:30598556, ECO:0000269|PubMed:7851399}.
P00420	P00420	SUBUNIT: Component of the cytochrome c oxidase (complex IV, CIV), a multisubunit enzyme composed of 12 subunits. The complex is composed of a catalytic core of 3 subunits COX1, COX2 and COX3, encoded in the mitochondrial DNA, and 9 supernumerary subunits COX4, COX5A (or COX5B), COX6, COX7, COX8, COX9, COX12, COX13 and COX26, which are encoded in the nuclear genome (PubMed:30598554, PubMed:30598556, PubMed:7851399). The complex exists as a monomer or a dimer and forms supercomplexes (SCs) in the inner mitochondrial membrane with a dimer of ubiquinol-cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII), resulting in 2 different assemblies (supercomplexes III(2)IV and III(2)IV(2)) (PubMed:10764779, PubMed:10775262, PubMed:30598554, PubMed:30598556). {ECO:0000269|PubMed:10764779, ECO:0000269|PubMed:10775262, ECO:0000269|PubMed:30598554, ECO:0000269|PubMed:30598556, ECO:0000269|PubMed:7851399}.
P00424	P00424	SUBUNIT: Component of the cytochrome c oxidase (complex IV, CIV), a multisubunit enzyme composed of 12 subunits. The complex is composed of a catalytic core of 3 subunits COX1, COX2 and COX3, encoded in the mitochondrial DNA, and 9 supernumerary subunits COX4, COX5A (or COX5B), COX6, COX7, COX8, COX9, COX12, COX13 and COX26, which are encoded in the nuclear genome (PubMed:30598554, PubMed:30598556, PubMed:7851399). COX5A is the predominant subunit V during aerobic/normoxic growth, it gets replaced by COX5B under anaerobic/hypoxic conditions (PubMed:2546055). The complex exists as a monomer or a dimer and forms supercomplexes (SCs) in the inner mitochondrial membrane with a dimer of ubiquinol-cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII), resulting in 2 different assemblies (supercomplexes III(2)IV and III(2)IV(2)) (PubMed:10764779, PubMed:10775262, PubMed:30598554, PubMed:30598556). COX5A interacts with COR1, CYT1 and QCR6 at the CIII-CIV interface (PubMed:30598554, PubMed:30598556). {ECO:0000269|PubMed:10764779, ECO:0000269|PubMed:10775262, ECO:0000269|PubMed:2546055, ECO:0000269|PubMed:30598554, ECO:0000269|PubMed:30598556, ECO:0000269|PubMed:7851399}.
P00431	P00431	SUBUNIT: Forms a one-to-one complex with cytochrome c.
P00445	P00445	SUBUNIT: Homodimer in holo form. In apo form, heterodimer with CCS1. Zinc-binding at 'His-16' of CCS1 and Glu-43 of apo-SOD1 is required for this heterodimerization. {ECO:0000269|PubMed:10026301, ECO:0000269|PubMed:11524675, ECO:0000269|PubMed:8652572}.
P00546	P00546	SUBUNIT: Forms a stable but non-covalent complex with the CKS1 protein and with a cyclin. {ECO:0000269|PubMed:2664468}.
P00549	P00549	SUBUNIT: Homotetramer.
P00560	P00560	SUBUNIT: Monomer. {ECO:0000269|PubMed:6765200, ECO:0000269|PubMed:8672447}.
P00572	P00572	SUBUNIT: Homodimer.
P00635	P00635	NA
P00724	P00724	NA
P00729	P00729	NA
P00812	P00812	SUBUNIT: Homotrimer.
P00815	P00815	NA
P00817	P00817	SUBUNIT: Homodimer.
P00830	P00830	SUBUNIT: F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c.
P00854	P00854	SUBUNIT: F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. In yeast, the dimeric form of ATP synthase consists of 17 polypeptides: alpha, beta, gamma, delta, epsilon, 4 (B), 5 (OSCP), 6 (A), 8, 9 (C), d, E (Tim11), f, g, h, i/j and k.
P00890	P00890	SUBUNIT: Monomer and homodimer (PubMed:28076776). Exists as an inactive monomer when phosphorylated (PubMed:28076776). Homodimerization is dependent on dephosphorylation of Ser-462 by PTC7 and is required for activity (PubMed:28076776). {ECO:0000269|PubMed:28076776}.
P00924	P00924	SUBUNIT: Homodimer. {ECO:0000269|PubMed:12054465, ECO:0000269|PubMed:8605183, ECO:0000269|PubMed:9376357}.
P00925	P00925	SUBUNIT: Homodimer.
P00927	P00927	SUBUNIT: Homotetramer.
P00937	P00937	SUBUNIT: Tetramer of two components I and two components II.
P00942	P00942	SUBUNIT: Homodimer. {ECO:0000269|PubMed:12509510}.
P00950	P00950	SUBUNIT: Homotetramer: dimer of dimers. {ECO:0000269|PubMed:10064712, ECO:0000269|PubMed:10369755, ECO:0000269|PubMed:10531478, ECO:0000269|PubMed:6115412, ECO:0000269|PubMed:8240286, ECO:0000269|PubMed:9512715}.
P00958	P00958	SUBUNIT: Component of a yeast aminoacyl-tRNA synthase (aaRS) complex formed by methionyl-tRNA synthase MES1, glutamyl-tRNA synthase GUS1 and the tRNA aminoacylation cofactor ARC1 in a stoichiometric complex. Interacts (via N-ter) with ARC1 (via N-ter). Can also form a stable binary complex with ARC1 that is functional in terms of aminoacylation. ARC1 increases the affinity for cognate tRNAs due to the presence of a tRNA binding domain in the middle and C-terminal part of ARC1. {ECO:0000269|PubMed:11069915, ECO:0000269|PubMed:11726524, ECO:0000269|PubMed:16914447, ECO:0000269|PubMed:8895587, ECO:0000269|PubMed:9659920}.
P01094	P01094	NA
P01119	P01119	NA
P01120	P01120	NA
P01123	P01123	SUBUNIT: Forms a complex with the Rab escort protein (REP) MRS6, which is recognized by Rab geranylgeranyltransferase BET2-BET4. Interacts with the Rab GDP dissociation inhibitor GDI1, which can retrieve from and deliver to membranes the GDP-bound and prenylated form of YPT1. Interacts with YIP1, which is required for proper membrane targeting of prenylated YPT1. Interacts with YIF1, YIP3, YIP4 and YIP5. {ECO:0000269|PubMed:11785952, ECO:0000269|PubMed:11943201, ECO:0000269|PubMed:12802060, ECO:0000269|PubMed:14576435, ECO:0000269|PubMed:8898359}.
P02293	P02293	SUBUNIT: The nucleosome is a histone octamer containing two molecules each of H2A, H2B, H3 and H4 assembled in one H3-H4 heterotetramer and two H2A-H2B heterodimers. The octamer wraps approximately 147 bp of DNA.
P02294	P02294	SUBUNIT: The nucleosome is a histone octamer containing two molecules each of H2A, H2B, H3 and H4 assembled in one H3-H4 heterotetramer and two H2A-H2B heterodimers. The octamer wraps approximately 147 bp of DNA. Interacts with NAP1. {ECO:0000269|PubMed:11566884, ECO:0000269|PubMed:18086883}.
P02309	P02309	SUBUNIT: The nucleosome is a histone octamer containing two molecules each of H2A, H2B, H3 and H4 assembled in one H3-H4 heterotetramer and two H2A-H2B heterodimers. The octamer wraps approximately 147 bp of DNA. Histone H4 is a component of the UAF (upstream activation factor) complex which consists of UAF30, RRN5, RRN9, RRN10, and histones H3 and H4. {ECO:0000269|PubMed:9391047}.
P02400	P02400	SUBUNIT: Component of the large ribosomal subunit (LSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes) (PubMed:22096102, PubMed:9559554). The 5 acidic ribosomal P-proteins form the stalk structure of the 60S subunit. They are organized as a pentameric complex in which uL10/P0 interacts with 2 heterodimers, P1A-P2B and P1B-P2A (PubMed:11431471, PubMed:16573688). {ECO:0000269|PubMed:11431471, ECO:0000269|PubMed:16573688, ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P02406	P02406	SUBUNIT: Component of the large ribosomal subunit (LSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes) (PubMed:22096102, PubMed:9559554). {ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P02557	P02557	SUBUNIT: Dimer of alpha and beta chains. A typical microtubule is a hollow water-filled tube with an outer diameter of 25 nm and an inner diameter of 15 nM. Alpha-beta heterodimers associate head-to-tail to form protofilaments running lengthwise along the microtubule wall with the beta-tubulin subunit facing the microtubule plus end conferring a structural polarity. Microtubules usually have 13 protofilaments but different protofilament numbers can be found in some organisms and specialized cells.
P02829	P02829	SUBUNIT: Homodimer. Interacts with the co-chaperones AHA1, CDC37, CNS1, CPR6, CPR7, HCH1, SBA1, SSE1 and STI1. CNS1, CPR6, CPR7 and STI1. Interacts directly with the substrates GCN2, HAP1 and STE11. {ECO:0000269|PubMed:10480867, ECO:0000269|PubMed:10567567, ECO:0000269|PubMed:10664467, ECO:0000269|PubMed:12504007, ECO:0000269|PubMed:14718169, ECO:0000269|PubMed:14739935, ECO:0000269|PubMed:16625188, ECO:0000269|PubMed:17114002, ECO:0000269|PubMed:18357975, ECO:0000269|PubMed:19236053, ECO:0000269|PubMed:7929182, ECO:0000269|PubMed:8939862, ECO:0000269|PubMed:9230303, ECO:0000269|PubMed:9632755, ECO:0000269|PubMed:9632766, ECO:0000269|PubMed:9817749, ECO:0000269|PubMed:9819421, ECO:0000269|PubMed:9925731}.
P02992	P02992	NA
P02994	P02994	SUBUNIT: The eukaryotic elongation factor 1 complex (eEF1) is probably a heterohexamer. Two trimeric complexes, each composed of eEF1A (TEF1 or TEF2), eEF1Balpha (EFB1) and eEF1Bgamma (CAM1 or TEF4), are probably dimerized via the eF1Bgamma subunits (PubMed:11106763, PubMed:11373622). Interacts with eEF1Balpha; the interaction is direct (PubMed:11106763, PubMed:11373622). Interacts with GCN2 (via C-terminus); this interaction is direct, occurs in amino acid-repleted cells, may be stabilzed in a ribosome-dependent manner, reduces GCN2-mediated eIF-2-alpha phosphorylation and is lost in amino acid-starved cells and by uncharged tRNAs (PubMed:21849502). Interacts with CEX1 (PubMed:17203074). Interacts with elongation factor 3 (YEF3 or HEF3) (PubMed:9990316). Interacts with NAP1 (PubMed:18086883). Interacts with SRV2 (PubMed:9125210). Interacts with chaperone ZPR1; the interaction is required for its proper folding (PubMed:36630955, PubMed:9852145). Binds to actin and forms a ternary complex with BNI1 and profilin (PubMed:11290701, PubMed:9591785). Interacts with the proteasome, probably via RPT1 (PubMed:15601860). Associates with ribosomes (PubMed:21849502). {ECO:0000269|PubMed:11106763, ECO:0000269|PubMed:11290701, ECO:0000269|PubMed:11373622, ECO:0000269|PubMed:15601860, ECO:0000269|PubMed:17203074, ECO:0000269|PubMed:18086883, ECO:0000269|PubMed:21849502, ECO:0000269|PubMed:36630955, ECO:0000269|PubMed:9125210, ECO:0000269|PubMed:9591785, ECO:0000269|PubMed:9852145, ECO:0000269|PubMed:9990316}.
P03069	P03069	SUBUNIT: Homodimer (PubMed:1473154, PubMed:3678204). Each subunit binds overlapping and non-identical half-sites that flank the central CG base-pair in the pseudo-palindromic motif 5'-ATGA[CG]TCAT-3' (PubMed:1473154, PubMed:2204805, PubMed:3678204, PubMed:7664107). Interacts with the mediator tail; the interaction with GAL11/MED15 is direct (PubMed:10549298, PubMed:19940160, PubMed:9488488). Interacts with the SAGA histone acetyltransferase complex (PubMed:10549298, PubMed:19940160, PubMed:9488488). Interacts with the SWI/SNF chromatin remodeling complex (PubMed:10549298, PubMed:19940160). {ECO:0000269|PubMed:10549298, ECO:0000269|PubMed:1473154, ECO:0000269|PubMed:19940160, ECO:0000269|PubMed:2204805, ECO:0000269|PubMed:3678204, ECO:0000269|PubMed:7664107, ECO:0000269|PubMed:9488488}.
P03870	P03870	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:11090626}.
P03871	P03871	SUBUNIT: Interacts with REP2. {ECO:0000269|PubMed:11244071, ECO:0000269|PubMed:15169893, ECO:0000269|PubMed:9393716}.
P03873	P03873	NA
P03877	P03877	NA
P03878	P03878	SUBUNIT: Homodimer. {ECO:0000305}.
P03879	P03879	SUBUNIT: Forms a ternary complex with intron derived RNA and the imported mitochondrial leucyl-tRNA synthetase NAM2. The proteins do not interact directly with each other.
P03962	P03962	NA
P03965	P03965	SUBUNIT: Heterodimer composed of 2 chains; the small (or glutamine) chain promotes the hydrolysis of glutamine to ammonia, which is used by the large (or ammonia) chain to synthesize carbamoyl phosphate. {ECO:0000269|PubMed:206535, ECO:0000269|PubMed:5856369}.
P04037	P04037	SUBUNIT: Component of the cytochrome c oxidase (complex IV, CIV), a multisubunit enzyme composed of 12 subunits. The complex is composed of a catalytic core of 3 subunits COX1, COX2 and COX3, encoded in the mitochondrial DNA, and 9 supernumerary subunits COX4, COX5A (or COX5B), COX6, COX7, COX8, COX9, COX12, COX13 and COX26, which are encoded in the nuclear genome (PubMed:30598554, PubMed:30598556, PubMed:7851399). The complex exists as a monomer or a dimer and forms supercomplexes (SCs) in the inner mitochondrial membrane with a dimer of ubiquinol-cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII), resulting in 2 different assemblies (supercomplexes III(2)IV and III(2)IV(2)) (PubMed:10764779, PubMed:10775262, PubMed:30598554, PubMed:30598556). {ECO:0000269|PubMed:10764779, ECO:0000269|PubMed:10775262, ECO:0000269|PubMed:30598554, ECO:0000269|PubMed:30598556, ECO:0000269|PubMed:7851399}.
P04039	P04039	SUBUNIT: Component of the cytochrome c oxidase (complex IV, CIV), a multisubunit enzyme composed of 12 subunits. The complex is composed of a catalytic core of 3 subunits COX1, COX2 and COX3, encoded in the mitochondrial DNA, and 9 supernumerary subunits COX4, COX5A (or COX5B), COX6, COX7, COX8, COX9, COX12, COX13 and COX26, which are encoded in the nuclear genome (PubMed:30598554, PubMed:30598556, PubMed:7851399). The complex exists as a monomer or a dimer and forms supercomplexes (SCs) in the inner mitochondrial membrane with a dimer of ubiquinol-cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII), resulting in 2 different assemblies (supercomplexes III(2)IV and III(2)IV(2)) (PubMed:10764779, PubMed:10775262, PubMed:30598554, PubMed:30598556). {ECO:0000269|PubMed:10764779, ECO:0000269|PubMed:10775262, ECO:0000269|PubMed:30598554, ECO:0000269|PubMed:30598556, ECO:0000269|PubMed:7851399}.
P04050	P04050	SUBUNIT: Component of the RNA polymerase II (Pol II) complex consisting of 12 subunits (PubMed:11805306, PubMed:12914699, PubMed:16341226). Interacts with DEF1; the interaction is direct and serves to bridge RPB1 to the Elongin complex in a DNA-damaged dependent manner (PubMed:23993092). Interacts with the Elongin subunit ELA1 (PubMed:23993092). Interacts with the Elongin subunit ELC1 (PubMed:23993092). Interacts with ASK10 (PubMed:14555478). Interacts with ESS1 (PubMed:10531363). Interacts with RTT103 (PubMed:15565157). Interacts with SHE2 (PubMed:20713510). {ECO:0000269|PubMed:10531363, ECO:0000269|PubMed:11805306, ECO:0000269|PubMed:12914699, ECO:0000269|PubMed:14555478, ECO:0000269|PubMed:15565157, ECO:0000269|PubMed:16341226, ECO:0000269|PubMed:20713510, ECO:0000269|PubMed:23993092}.
P04051	P04051	SUBUNIT: Component of the RNA polymerase III (Pol III) complex consisting of 17 subunits.
P04147	P04147	SUBUNIT: Binds to poly(A) mRNA to form a periodic structure with a packing density of one molecule per 25 adenylate residues. Interacts with the nuclear export factor CRM1 and with the importin SXM1. Interacts with RNA15, a component of the cleavage factor IA (CFIA) complex. Interacts with translation initiation factor eIF4G (TIF4631 or TIF4632) and release factor eRF3 (SUP35). Interacts with the PAB-dependent poly(A)-nuclease (PAN) complex regulatory subunit PAN3. Interacts with ARF1, DCP1, PBP1, the Hsp70 chaperone SSA1, and TPA1. Interacts with PAT1 in an RNA-dependent manner. {ECO:0000269|PubMed:10357826, ECO:0000269|PubMed:10944120, ECO:0000269|PubMed:11279042, ECO:0000269|PubMed:11741542, ECO:0000269|PubMed:11971964, ECO:0000269|PubMed:12923185, ECO:0000269|PubMed:15169912, ECO:0000269|PubMed:15337765, ECO:0000269|PubMed:15356266, ECO:0000269|PubMed:15525991, ECO:0000269|PubMed:15769879, ECO:0000269|PubMed:16809762, ECO:0000269|PubMed:9003792, ECO:0000269|PubMed:9199303, ECO:0000269|PubMed:9256432, ECO:0000269|PubMed:9418852, ECO:0000269|PubMed:9702200, ECO:0000269|PubMed:9819425}.
P04385	P04385	NA
P04386	P04386	SUBUNIT: Binds DNA as a homodimer. Interacts directly with the mediator subunits GAL11/MED15 and SRB4/MED17. {ECO:0000269|PubMed:11478912, ECO:0000269|PubMed:9660972}.
P04387	P04387	SUBUNIT: Monomer. {ECO:0000269|PubMed:1985957}.
P04397	P04397	NA
P04449	P04449	SUBUNIT: Component of the large ribosomal subunit (LSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes) (PubMed:22096102, PubMed:9559554). {ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P04456	P04456	SUBUNIT: Component of the large ribosomal subunit (LSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes). uL23 is associated with the polypeptide exit tunnel (PubMed:22096102, PubMed:9559554). {ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
P04710	P04710	SUBUNIT: Monomer. {ECO:0000250|UniProtKB:G2QNH0}.
P04786	P04786	SUBUNIT: Monomer.
P04802	P04802	SUBUNIT: Homodimer.
P04806	P04806	SUBUNIT: Homodimer.
P04807	P04807	SUBUNIT: Homodimer.
P04817	P04817	SUBUNIT: Interacts with RRT2 (PubMed:21880895). {ECO:0000269|PubMed:21880895}.
P04819	P04819	NA
P04821	P04821	NA
P04840	P04840	SUBUNIT: Homodimer (PubMed:38065946). Interacts with FCJ1 (PubMed:21987634). Interacts with AIM5 (PubMed:21987634). Interacts (PubMed:21987634). {ECO:0000269|PubMed:21987634, ECO:0000269|PubMed:38065946}.
P04911	P04911	SUBUNIT: The nucleosome is a histone octamer containing two molecules each of H2A, H2B, H3 and H4 assembled in one H3-H4 heterotetramer and two H2A-H2B heterodimers. The octamer wraps approximately 147 bp of DNA.
