#'chr'	'start'	'end'	'3225_EST_1_log2FC.bw'	'3225_EST_2_log2FC.bw'	'3225_EST_3_log2FC.bw'	'3225_EtOH_1_log2FC.bw'	'3225_EtOH_2_log2FC.bw'	'3225_EtOH_3_log2FC.bw'	'3229_EST_1_log2FC.bw'	'3229_EST_2_log2FC.bw'	'3229_EST_3_log2FC.bw'	'3229_EtOH_1_log2FC.bw'	'3229_EtOH_2_log2FC.bw'	'3229_EtOH_3_log2FC.bw'	'3506_EST_1_log2FC.bw'	'3506_EST_2_log2FC.bw'	'3506_EST_3_log2FC.bw'	'3506_EtOH_1_log2FC.bw'	'3506_EtOH_2_log2FC.bw'	'3506_EtOH_3_log2FC.bw'
III	17289	18561	0.13445014131589317	0.01872970525573635	0.12415474913780045	0.19428732824400535	0.10887480198212389	0.11636018445656733	0.19183476675981245	0.1327762064318987	0.2610803552674797	0.34106808101418634	0.1508121985122093	0.09092009291521409	0.3015665039701282	0.37044192112091956	0.46379224265802577	0.01054353985771444	0.19137798217857407	-0.005058850022325719
III	18815	22106	-0.5549128151345637	-0.6581633385500621	-0.5349229237512411	-0.37593078298776644	-0.4086317798298784	-0.4649514879328398	-0.31193784363035804	-0.2842659829217806	-0.24880370842906996	-0.2965550354533339	-0.23261749553656874	-0.4153981299140974	-0.05500099875601147	-0.08221638819179575	0.06637143851847896	-0.44036249254647086	0.12064687141492642	-0.35201260683493785
III	22428	23379	-0.09615550693026602	-0.23817507232354268	-0.12549688667529013	-0.12670585181560176	-0.23846819598842744	-0.1783501026570233	-0.17938192716783027	-0.07979029576234387	0.045030308647235985	-0.16024753805465378	-0.1850220191867319	-0.2912558232697528	0.2398206952493148	0.21825965696830227	0.25391919810939917	-0.36371462518108383	0.16667088610830116	-0.17511503747209015
III	23522	23981	0.8876832176657284	0.9176353206302086	1.0224073611573197	0.7125133465707693	0.4771201074512955	0.5519361228984425	0.4195282168377978	0.7917819586714369	0.6996939598864719	0.7724256540435591	0.584052893383051	0.5984460149195718	1.0730761471916648	1.2911309148751051	1.142664792075396	0.419334237508005	-0.09193792010704156	0.5565341565084353
III	23583	23925	0.9481801104127315	0.9436294039090475	1.0603829395004183	0.7603183844546129	0.5342084603700024	0.5794802975933454	0.4547343387241252	0.8313184677857405	0.7386049415632995	0.8212188075160421	0.6117935083762944	0.6327136152669003	1.0876361888751649	1.3574363811671386	1.205077778735356	0.44393976766463605	-0.13749720213706032	0.588992536834806
III	24031	24325	0.9040712142984072	0.835395812228018	0.9628010553364851	0.5654291615878441	0.41114635279379963	0.7315851221919111	0.6256088289261168	0.8600185852573843	0.48294784207226465	0.6816654755499493	0.575978011805184	0.8136245883038254	1.0661329251973808	1.365858519462501	1.3197759284454138	0.42682072666606735	-0.5110464783093962	0.5947227927216259
III	24767	26906	-0.004487951630016755	-0.18720752781604483	-0.0057500590560256816	-0.211036457910667	-0.33299497083393753	-0.32897971778787594	-0.14518209367419246	-0.12083449167534259	0.04268353590624196	-0.06946307348558536	-0.12752077392450056	-0.23913548628043324	0.3007685511287209	0.3568361992588551	0.3026377336395963	-0.3123393252498917	-0.23607211409466686	-0.23315544142908112
III	26924	27359	0.562370642629163	0.5285660927597134	0.6206300474583418	0.20764761034099533	0.13681553232258764	-0.03591770446163486	0.23611219288288862	0.35569111959002486	0.4426610191080762	0.1740178620130166	0.2007112845059099	0.23870305165477176	0.5221803420713578	0.5666235551340827	0.6483286842806586	0.0791091328105707	0.856825413484683	-0.005904576148109874
III	27928	28936	-0.1115980511619931	-0.21744831762616595	-0.01962489580351209	0.005783731218368298	-0.08820384759751579	-0.1042795697848002	0.014129034772751826	0.10996519421774244	0.18192495315793958	0.07313083656250484	0.000831694830031615	0.05956744173216441	0.03277880558891901	0.21339190536075164	0.2590103414796648	-0.09848970931673807	0.2698583903766814	-0.10426675682030026
III	30909	30996	-0.4576974620764283	-0.3048471932609876	-0.18193920333495087	0.0711719313871929	-0.056217993288461506	-0.21777965282571726	-0.06773694690274096	-0.24107302262865263	0.0433170803148171	-0.08708440007149489	0.02070111314626946	-0.20550828538406854	-0.15281558572047058	-0.1835830518226514	0.13474820400106496	-0.25035850789355135	0.8999367390555897	-0.23811470366072382
III	31448	33974	-0.11682429600592559	-0.2370122814027449	-0.11820237411927911	0.26754000397636507	0.19134377085398044	0.2765469958903954	0.2908675062967876	0.4939303096097703	0.4400677143158841	0.2927274963540495	0.2965250592805616	0.2738300293471638	0.6644302122005846	0.8048578673096187	0.832239001720365	0.04663878967152261	0.27043571147480755	0.16952218714325748
III	34142	35393	-0.15287614955033044	-0.34957486967579254	-0.1516256051860172	-0.4877184482882444	-0.4169625005561957	-0.4951208972244811	-0.2842765415886895	-0.2914762666185411	-0.18774172564109354	-0.3101839910975272	-0.2787789069967781	-0.4495987326502323	0.010072366377527871	0.039578841839858214	-0.04280605285668924	-0.4168033953574445	-0.09175810364129351	-0.32688167436326815
III	35864	37616	-0.0844190355305258	-0.34166841104150364	-0.14035342773890386	-0.1417281890024333	-0.2261216931147118	-0.30537938160575145	-0.08998838644049482	-0.14845100222112928	0.030872777689537508	-0.018672172609529546	-0.022640107102590068	-0.13670933676636926	0.2112987318675812	0.1899871785618943	0.31737157247926545	-0.21600158900430758	-0.4649612518206035	-0.12496310325518047
III	37835	38801	0.1262174369879144	-0.1154882165956201	0.09403953783013559	0.1459164581437042	0.041962265030444285	0.0777549888283076	0.054448512721012345	0.2415286244319339	0.19049644914473066	0.2606258589782083	0.12534139822728885	0.028892484461545454	0.8628969800459918	0.9520022509014138	1.0180621709636033	0.04255747563103465	0.183100954642207	-0.001230020947584701
III	39785	40724	0.4152872349634465	0.4426649604234706	0.6036427266554583	0.08914814967824755	-0.034865425112910166	0.03304076154772846	0.24711706306987677	0.39807977087327595	0.3820150013041064	0.3127747511457457	0.16682779634722505	0.13798519725870653	0.3021240430771987	0.5079182546867477	0.369534888485877	0.14172372918921158	-0.1956114302808865	0.20474642713229876
III	41487	41727	-0.3745479687815532	-0.35749372709542515	-0.21445759007086357	-0.8358106652895609	-0.890249632547299	-0.7949812439580758	-0.3382174597432216	-0.6112693525229891	-0.267339741345495	-0.5624146203200022	-0.611200209831198	-0.8600373132775228	-0.9039685115218162	-0.7403982204695543	-0.5915540710091591	-0.7101540113488833	-1.139003948463748	-0.8135112610956033
III	42164	43556	-1.032851788230326	-1.1090266536022053	-1.009193015235594	-1.4515462875366212	-1.3736468226060101	-1.7709512557106455	-1.148593069904152	-1.5498848202584805	-1.0792318215315369	-1.4173799498327846	-1.0688329841898776	-1.6502439164567266	-1.2609077766023833	-1.294106849719738	-1.289254768415429	-1.5436067093377828	-0.7356805708901636	-1.1193150765594395
III	43660	44437	-0.5051528418232882	-0.6535200048137355	-0.37925331050978356	-0.8609892915114473	-0.7890036188957774	-1.0079606881626477	-0.577124901075621	-0.8984681643727818	-0.6695118171367866	-0.7462975311770249	-0.6321412008548182	-1.026584732762635	-0.7132819943868363	-0.4540394713059356	-0.47458883049865486	-0.9486641567186039	-0.7895672962011978	-0.7295376132660698
III	44622	46905	-0.1652306330710506	-0.365931460040732	-0.16101456435166375	-0.11514265492095062	-0.28185110526600793	-0.23729977808236763	-0.02896710771820914	-0.07686550943568461	0.015759748882649565	-0.058185487920340874	-0.12164905235869708	-0.16794791269787976	0.3347321395765936	0.26434118077778995	0.38863214157355286	-0.19893431391239008	-0.17109322604305954	-0.1874145068701453
III	46639	46963	0.3929105910254113	0.22726263527149038	0.4324586439647793	0.06524970759580166	-0.13796613573292155	0.027854619887485	0.06567231124197995	0.24211962268411838	0.11571490091306194	0.1738745626476076	-0.04514040466811922	0.0374084907365434	0.34536995775537727	0.4140530012639953	0.434993001745071	0.009939803017510318	-0.15513533147764794	0.050616640330832685
III	47110	48364	0.3444117010115056	0.23097257944955782	0.39626636121071507	0.044769225983718554	-0.12361437145032379	-0.08489080399417422	0.04015973460351071	0.1345770670251068	0.09952121659329063	0.18522019414810473	0.06065867361530923	0.07798782326578142	0.33691837426387905	0.3463209331891183	0.5110522280849717	-0.08939206298838771	-0.7786351705852308	-0.015113571195891408
III	48652	50221	1.1753528394693018	1.053535159550479	1.173585961653671	1.0290774846699984	0.8723420344544794	0.9779310090591984	1.3717341816903983	1.4916496684400802	1.3171479011508902	1.2857615366644581	0.9520342191202842	1.077508567128309	1.2427587921867103	1.4781844160069015	1.6962942155931617	1.043493772464774	0.0383666339385578	0.8290350415282677
III	50132	50627	0.12723487979233866	-0.014761606515055932	0.20726542443940138	-0.25480736453123765	-0.6409296080078741	-0.4847832808831725	-0.4230655084475123	-0.150827526709046	-0.1098592756252096	-0.2825937910754271	-0.6655128373040093	-0.6249891161677813	-0.5127068230600067	-0.1349569642423379	0.1301552757109055	-0.4411318148988666	-1.24083409280488	-0.6527360214849915
III	50583	50943	-0.21886776778433056	-0.6819959245208236	-0.21673326392968495	-0.9331135677629047	-1.166465934117635	-1.0876665654447344	-0.6986728898598812	-0.8133536142110823	-0.7004121859868367	-0.6510907996301022	-0.8888987311389712	-1.1976694203747644	-0.5004408644139767	-0.5273871731758117	-0.5286913746264246	-1.0578567320770689	-2.0731374035941226	-0.908941671318478
III	50837	52340	0.5188276242948102	0.16988378651365788	0.5456594605606077	-0.174210120024716	-0.4430199527613576	-0.46819859528176716	0.008737393370962757	-0.19651877866563444	-0.13230030600102996	0.2232575413233744	-0.12503438868367187	-0.16498294833177576	-0.06856697630422241	0.0668181324829995	0.160267869361781	0.007913710384153168	-0.9970184000031757	-0.15260650735653325
III	52644	54882	0.05435537090450126	-0.06431819131269957	0.14226263517562146	-0.43547509259896366	-0.4580898315380257	-0.44947466838562244	-0.1301985780770913	-0.25159803462198954	-0.08499599498121518	-0.12738171533562437	-0.289564238082521	-0.3674692975505321	0.17548827737223582	0.2020604354766355	0.1883160373374114	-0.36772098115131835	-0.8719862897658155	-0.33071869048718583
III	54940	56527	-0.1665331702996292	-0.3271579497853539	-0.12191232198728431	-0.41101878862675434	-0.48348944768563107	-0.5516549655755661	-0.30090040708384425	-0.35400805790317685	-0.15734998895901137	-0.27057448361906977	-0.31219674866381275	-0.5057294835665727	-0.20148439659738812	-0.16236186739627717	-0.08284587445466415	-0.41686051019573633	-0.2808286160286974	-0.3511683918502846
III	57373	58678	0.6533813115737447	0.5434194497952516	0.6972564710054361	1.2110150152330652	1.063664951324463	1.1036213654850635	1.1394492509629992	1.3847306647611304	1.2332321444690455	1.3419934015529822	1.1156941823118949	1.2664753845916397	1.6043813383898973	1.7724942373224601	1.8887151531058708	1.0408312419730585	0.608630605831	0.9624794392202092
III	59025	60726	0.11715020305755768	-0.025013364812053702	0.06856809159995947	-0.00793239026122903	-0.028642480461685743	-0.08853435629890077	0.025560372286442794	0.058621727193824566	0.17358920085016663	0.059666601746731274	-0.1443541436108472	-0.19502094037248272	0.41387220841866956	0.4039815253410039	0.4554828065062606	-0.40378245668576646	-1.2060153346703655	-0.282132664727576
III	60840	61173	0.6227693736195206	0.7826923881565129	0.8087684677885818	0.3534466185727277	0.00575019625930099	0.2183367930375062	0.39405010194033835	0.41701766009087315	0.395341963094992	0.2817930207238183	0.23677255359139887	0.2140929508495617	0.5915771158070894	0.6244006406437528	0.6869691321083733	0.20289307757540864	-0.25958153784454047	0.149973047173417
III	61657	62722	0.22134041774160984	0.1958271969987753	0.22392728098121606	-0.1540074936772736	-0.14700166081039	-0.21591978762631128	-0.00510298214048286	0.13028941723102694	0.059573082722408674	0.24470143309221584	-0.06679492641502702	-0.0702328581205556	0.2712873453489492	0.4360690173072994	0.30696489972127994	-0.15874765933399468	-1.0416344022974722	-0.12259872960372711
III	62775	63282	0.2327914674371422	0.19321218129445816	0.3930292301629422	-0.2585752669641017	-0.426360558946222	-0.5601366897894315	-0.0053052089623445535	-0.14950657671490128	0.0043646272587823266	-0.056248726741331787	-0.24043964441476254	-0.2862032096531734	-0.02119685498450164	0.01949269691632816	0.106483457873794	-0.37536662852270364	-1.1289654529541437	-0.22277984426336644
III	63440	64481	-0.2363678741180244	-0.33030561645024104	-0.18022896265548427	-0.51455591240259	-0.4953791268391751	-0.5709963028987478	-0.29387419322267616	-0.2697088028122666	-0.16605769770289702	-0.29194491667660466	-0.3185452633472043	-0.5351834324663586	0.027771264034091685	-0.08588968308125403	-0.05859568904616533	-0.509700984753289	-1.1096525358993428	-0.4775294647436664
III	64674	65568	0.46027253372823895	0.5351591682007382	0.4964438017049358	0.6354258603430968	0.5606130286351146	0.5802322212748346	0.561813450072969	0.8213336778167111	0.7862035215834376	0.7457714575782453	0.532872080856255	0.651578364062896	1.074190206762395	1.0438301269906747	1.249943406363195	0.6444365893967733	1.0782392079398135	0.47958341519571257
III	65933	68333	0.7328761818011602	0.6137310264507929	0.8031575086514156	1.9227286715507503	1.7515558009147643	1.9083301903406782	1.358464207927386	1.5936529986858368	1.4549607092539472	1.9679569787184399	1.679067208449046	1.815345908840497	2.089287612438202	2.166629994312922	2.269758196512858	1.7684675737222035	1.0750284881194432	1.6610863382418952
III	68598	69921	-0.1318978952262227	-0.32021189813621104	-0.039104835769036284	-0.07467008479508325	-0.05491420307217093	-0.08372777688259982	-0.1289293781700048	0.0010355625901362728	0.05707209833805433	0.14160220700506898	-0.009254871620793107	-0.08933684795261422	0.3254805324119055	0.30104555766508606	0.46178863088199795	-0.13305383087195688	-0.7326242171537669	-0.12143368421858762
III	70149	71367	-0.28967356999910915	-0.3859469356256949	-0.0778255225793873	-0.35611528794362235	-0.47312871129641976	-0.508764785596694	-0.2839719441528195	-0.2837051344035294	-0.14962027999029567	-0.16434180493816758	-0.2861659367683486	-0.5402907644292991	0.17228811773760566	0.04481273110472707	0.19074264563167428	-0.4495339283410747	-1.198372949931422	-0.34213412268016924
III	71802	73341	-0.4779705657673936	-0.613995721821974	-0.3865249258732935	-1.060911313460352	-0.9942971720332989	-1.2691783552436258	-0.9381495579564006	-1.1495114874886259	-0.6941583038848124	-0.954708027018596	-0.80239728105928	-1.1416764831914772	-0.860915799850454	-0.9432870711189651	-0.8518698158784683	-1.1581054660854129	-1.2849318382877897	-0.8931385168245353
III	73404	73986	-0.4152605442656684	-0.6258370428970179	-0.2745506778205793	-0.9665963720210229	-0.9146837696586687	-1.1037631749287504	-0.869288933154234	-1.1495385881142108	-0.7056405585246397	-0.9591211531989762	-0.7828392235274167	-1.1696499513186949	-1.1187244703679562	-0.8783970973745653	-0.9670164996406058	-1.0448473114328287	-1.5988585477022779	-0.8827885896479549
III	74703	75285	-0.78478224973908	-0.9106890540762046	-0.5945355907748245	-1.3238449465368212	-1.1691144749880655	-1.6035477828324045	-0.9554084677876477	-1.2992054736081677	-0.8918691787523093	-1.1124893537501699	-0.9710569950313503	-1.456583245595296	-0.9298008885989894	-1.1903768834379531	-1.219082056779632	-1.3232373478486366	-1.664676379993609	-0.890200178565848
III	76017	77919	1.9308269310198123	1.752401455268499	1.9093378074537692	2.3651770941717265	2.244531096369185	2.281699936623077	1.8948753677833468	2.111916474162843	1.9956473561616852	2.4206392113217294	2.00654285778884	2.2235154859901853	2.8625008590088528	2.9690261905000286	3.0151801382078856	2.2538488364495435	1.4819657272595588	2.1247276866222906
III	78948	79296	-0.7472955637964709	-1.0284843894256943	-0.5737060009748086	-1.2729734333082177	-1.0722045920361047	-1.2757238366137977	-0.81203494674858	-1.118073193780307	-0.6576544520498692	-0.8597619034778113	-0.8722662147434279	-1.0897781525535144	-0.586488314880722	-1.1869935923609238	-0.87204339696073	-1.1527194209482479	-1.277930742022635	-0.8324328378699292
III	79161	82275	-0.6016888345252571	-0.7089514884789095	-0.5039167224609592	-0.5145557307017944	-0.5803610030243469	-0.6668650492537688	-0.4644037756080725	-0.5421628122997345	-0.3768089828693339	-0.4052541409996586	-0.34353745650540735	-0.5500037831837501	-0.3664713376902125	-0.528593918820873	-0.4845699210617124	-0.5371528375278931	-0.46567384156954156	-0.44684833412225533
III	81569	82085	-0.8715384581292323	-0.6216704754866371	-0.5783401465231134	-0.4228028166201688	-0.637420072574024	-0.7315626604612483	-0.4498844144418258	-0.4867406636245491	-0.3360930368881817	-0.35124258422112276	-0.378541777854742	-0.38243419320084326	-0.4235344623872476	-0.4299937978271366	-0.3868620015854059	-0.38215109008227205	-0.49666226108868916	-0.4042989677236986
III	82461	82533	1.2284169130855136	1.1941806731952562	1.302467675672637	0.43925128918555045	0.04191818716289061	0.20563651409207118	0.0664947766603695	0.18916055937815043	0.26549821967879933	0.051379197277128696	0.3443326088082459	-0.009024311270978715	0.31013568200998837	0.5246044691238139	0.41948921750817036	0.20228631191680002	0.990427596701516	0.07964529386825031
III	83619	83997	0.1852935639254394	0.350113278343564	0.3814907562165033	-0.8724336200290256	-0.9886150249097714	-1.1252167716858879	-0.7548803144031101	-0.9963921713450598	-0.691047228833355	-0.9623801052254974	-0.7185467804550494	-0.9666569727438468	-0.8897243287828233	-0.8103962000084932	-0.9000929274887005	-1.1498292975955537	-1.171419510008797	-0.8153390514787542
III	85101	86418	0.9118176503351628	0.7943358247897438	0.9608997382987333	-0.017508518695831303	-0.1920857474400224	-0.09912744410217217	-0.28690694371406655	-0.17921745215932255	-0.06615577354155984	-0.07737715365584366	-0.13621653225173894	-0.20317501938515029	-0.28356102500436153	-0.10138001108857476	-0.14475024620872967	-0.25438099390825003	0.0007104588351470558	-0.158421512381453
III	85101	90415	0.8699209052097722	0.82193712009987	0.886561023717901	0.2140027150752897	0.08035750977069667	0.12647916414558685	-0.02775388491032579	0.02811270379396503	0.12472740855708714	0.15620693762442828	0.15235652067987013	0.12766816115240248	-0.008497158844846957	0.057616532912234585	0.10793035032608297	0.07257254544756311	0.6594336709807499	0.07705028005053685
III	90858	90972	1.0847734657295964	0.9984977547275392	1.0695703019175613	0.352228446161015	0.20548222658404133	0.1275606465836366	0.15594997959570928	0.04409623061094368	0.29542783438636544	0.3709286508199416	0.43135143607331994	0.08679333159275222	0.6138625733489007	0.8255934120531667	0.4786502451619558	0.19776391009228272	0.05404624251420038	0.08822102596362431
III	91323	92418	0.9429717867559495	0.8836994599860553	1.0155078855279374	0.638180824199768	0.5462824124669375	0.6442136110617146	0.7079364258350304	0.8416947873760032	0.8376538084848831	0.8867029969986172	0.6314212269210109	0.7544820194170899	0.717792901241616	0.8597173109881954	0.9262426245484723	0.5968390103535021	0.1486803612779809	0.6249666812658718
III	92776	94270	-0.05015347910374203	-0.17438315724432865	-0.04670592082073411	0.11494974624041414	0.07599134959051089	0.06957930490833368	0.18924878763865274	0.24863226817474468	0.15087553912217677	0.2662423710267707	0.14015574611653606	0.2139927743109993	0.5852660102936798	0.654170625683773	0.6222687603878369	0.08304529221980286	-0.3138158726724117	0.1544332089034748
III	94620	95763	-0.5691365091819464	-0.6531824144478545	-0.423814449410426	-0.6589619132581763	-0.5616989340994928	-0.8185738846385886	-0.5005377892955604	-0.5727750410245159	-0.5043422984325979	-0.4979307911423143	-0.4235701515918642	-0.7599414138760571	-0.25437014507600747	-0.28546379511541997	-0.19302697615569242	-0.7350873495754399	-1.1800248379678133	-0.5551419359909685
III	96280	101191	-0.525650142083171	-0.6668451187324679	-0.5212592573229977	-0.46436392897089535	-0.48973543695897637	-0.5506494320621075	-0.3013853512112695	-0.3331902140234522	-0.20831260695231227	-0.3598989766305781	-0.2710503194949166	-0.49625104739791726	-0.08209308413764023	-0.10584568481682227	-0.02003888468760819	-0.5373899441196486	-0.24267399024147773	-0.42289961952465027
III	101316	101788	0.1413542811143196	0.04459567373081789	0.342147745318332	-0.22659051540797037	-0.3238491891583396	-0.4181332641233832	-0.024300928287586926	0.02348831346479513	0.053115712788145426	-0.1575231463664164	-0.15451579695030793	-0.2835977615646513	0.17216191968675387	0.24356312953819664	0.3153650949567051	-0.28380181602344423	0.33970613883713546	-0.35908537048657063
III	102074	103358	0.44497682944265116	0.257366103472368	0.4973654515275332	0.8449348044915362	0.6541220465181773	0.8291086242206371	0.8327839578052176	1.0622194575372144	0.8558247816525516	1.0517258713921283	0.7538676486208432	0.8395433607873887	1.2719010881917128	1.2080946108262487	1.26281583598841	0.8011642874215622	0.6020049054303273	0.6610031661957595
III	103570	104350	0.9922924457452236	0.8947122818384415	0.98923126856486	0.6300621595138158	0.5328510626768455	0.5680216666979667	0.6671556643950634	0.8001341379605806	0.7311202000348996	0.9601987423040927	0.604141333164313	0.7063854046356983	0.8704860736162234	1.0426752970768856	0.9416870092734312	0.5122728323325133	-0.3370322031852527	0.4568516364464393
III	104618	105548	1.2230465521863711	1.1212030230286298	1.214954560802829	1.1216814238025297	1.0545339483855873	1.0457243051836569	0.9513340541880617	1.2282665695682646	1.0151884938311833	1.3741176709821148	0.9341147635059972	1.1616501342609364	1.3500376697253156	1.4795913675779937	1.7185848176607519	0.9022449448288128	-0.1692239453715663	0.9233040579929147
III	105695	106853	0.3593264765072363	0.1579369237077051	0.41765197605049054	0.14916884042644335	0.05388375138783496	0.18477424159774716	0.1042126619033451	0.18417229644169256	0.13869177629087048	0.40669727337792744	0.06383059557031885	0.0755811579795699	0.448074404316245	0.4877644377874793	0.6187688920987908	-0.022024226325060625	-0.8671883384592587	0.12981744956977936
III	106973	107366	1.9160682929987822	2.0057215883531643	1.7514938168853293	1.0288873171381672	0.9056581432886098	1.0957602479075659	1.1095650413260811	1.205954331114092	1.245487049396408	1.1120745311863245	0.7670242697834666	1.2118201306758036	1.100380170496972	1.5166346809032916	1.642616296383261	0.9029043803081561	0.9442139620089348	0.8264269667424016
III	107022	107417	2.2368853844268415	2.348883445836321	2.051347899618028	1.3673851481570474	1.2525639512267295	1.4486267872098126	1.4460779238350783	1.581687104913253	1.5884955898719497	1.4772931424877311	1.0993712949149217	1.599749699846099	1.4797543996497045	1.92371611510651	2.041714182775232	1.2472404465494276	1.1957205516477176	1.1779072170016132
III	107503	107712	2.5419462685379686	2.707957033905686	2.5601021570452094	2.009524466318377	1.954505283866773	2.090972244454343	2.0665917373730234	2.46870990118912	2.1963385554592003	2.3173018984817433	1.80368895051582	2.080619935213664	2.5266471217123514	2.8090521319631185	2.7589596698158667	1.9960857224806645	1.4790074078089883	1.8180326365968258
III	108020	108791	-0.06507297424954663	-0.10879879231660128	-0.030051021368741677	-0.32402533980813625	-0.2720081768765678	-0.35898534982584795	-0.1763025501822683	-0.2439182518366555	-0.003553974473832029	-0.03494627911756939	-0.2574543211710592	-0.3359374050345712	-0.02260123563956967	0.049075825850632714	0.15031202093018015	-0.3491623095501258	-0.9796983512304481	-0.27204603666461397
III	109104	110670	-0.09008063092390087	-0.18207240884179204	-0.07945841276782682	-0.20848335604710294	-0.305188560200377	-0.3224036099049019	-0.21490557091750706	-0.10613538899184186	-0.1526424500372827	-0.1439968642299355	-0.22946579652727792	-0.30778958264590833	0.15566680034001668	0.0946659618258324	0.06131303414683385	-0.26195143027323875	0.10240790874412994	-0.23790370001342256
III	110807	111675	0.022063801173240912	-0.09009274392633394	0.07198752185441382	-0.12751659165878998	-0.127937699655234	-0.13342945938286144	-0.038335684559861645	0.07368638320452608	-0.007135127079651656	0.012621721858802483	0.016214692427815376	-0.023014584966518904	0.17433124508725883	0.1826269531579611	0.3385760907615934	-0.04577667040209616	0.7402844734318246	-0.04629589271160863
